mainstat,sex,marstat,national_summary_x1,national_summary_x3,national_summary,hatlevel,hatfield,ageclass,familytype_summary,region
9,1,1,,1,1,999,9999,3,2,2
4,1,2,,2,2,300,0,15,1,2
4,2,2,,1,1,500,700,14,1,2
5,1,4,,1,1,200,9999,12,9,2
1,1,2,,1,1,600,300,8,2,2
1,2,2,,1,1,600,900,6,2,2
9,1,1,,1,1,999,9999,1,2,2
9,1,1,,1,1,999,9999,1,2,2
1,1,1,,1,1,304,0,8,1,2
1,2,1,,1,1,304,0,6,1,2
1,2,1,,1,1,304,0,6,1,2
1,1,1,,4,4,304,0,7,1,2
1,1,1,,6,6,600,800,7,9,2
1,2,1,,6,6,600,300,6,9,2
4,2,2,,1,1,400,300,15,1,1
4,1,2,,1,1,200,9999,17,1,1
5,1,1,,1,1,200,9999,11,9,2
4,1,2,,1,1,100,9999,16,1,2
7,2,2,,1,1,100,9999,16,1,2
1,2,2,,1,1,400,0,14,1,2
4,1,2,,1,1,600,700,15,1,2
1,2,2,,1,1,500,300,11,2,1
1,1,2,,1,1,200,9999,11,2,1
2,2,1,,1,1,400,200,6,2,1
1,1,1,,4,4,700,481,8,9,2
2,1,1,,6,6,500,200,6,9,2
1,2,4,,1,1,304,0,14,9,2
4,1,2,,1,1,100,9999,14,1,2
8,2,2,,1,1,100,9999,12,1,2
7,2,3,,1,1,100,9999,14,9,2
3,1,1,,1,1,304,0,6,9,2
1,1,1,,1,1,600,100,6,9,2
1,1,1,,1,1,600,100,6,9,2
5,1,1,,2,2,100,9999,12,9,1
1,1,1,,1,1,304,0,11,1,1
1,2,4,,1,1,100,9999,12,1,1
1,1,2,,1,1,800,200,11,2,1
1,2,2,,1,1,700,200,11,2,1
3,1,1,,1,1,100,9999,4,2,1
9,1,1,,1,1,999,9999,3,2,1
9,2,1,,1,1,999,9999,3,2,1
2,2,2,,1,1,700,300,9,1,2
1,1,2,,1,1,700,300,9,1,2
4,2,3,,1,1,,9999,16,9,2
5,2,1,,1,1,100,9999,13,9,2
4,2,1,,1,1,400,700,16,9,2
1,2,4,,1,1,500,700,10,9,1
1,2,1,,1,1,600,420,10,3,2
9,1,1,,1,1,999,9999,3,3,2
1,2,1,,3,3,300,0,6,9,2
1,2,2,,1,1,600,700,8,2,2
1,1,2,,1,1,304,0,8,2,2
9,2,1,,1,1,999,9999,1,2,2
9,1,1,,1,1,999,9999,1,2,2
1,2,2,,1,1,400,100,10,2,2
1,1,2,,1,1,304,0,10,2,2
1,2,1,,1,1,400,700,5,2,2
1,1,1,,1,1,304,0,4,2,2
9,1,1,,1,1,999,9999,3,2,2
4,1,1,,1,1,100,9999,15,9,2
5,1,1,,1,1,100,9999,12,9,2
1,1,2,,1,1,500,500,8,2,2
1,2,2,,1,1,300,0,8,2,2
9,1,1,,1,1,999,9999,2,2,2
1,1,2,,2,2,400,500,11,1,1
7,2,2,,1,1,400,300,12,1,1
7,2,2,,1,1,500,700,10,2,2
1,1,2,,1,1,100,9999,9,2,2
3,2,1,,1,1,100,9999,4,2,2
9,2,1,,1,1,999,9999,3,2,2
9,1,1,,1,1,999,9999,3,2,2
5,2,1,,1,1,100,9999,12,9,2
1,1,2,,1,1,,9999,9,3,2
9,1,1,,1,1,999,9999,3,3,2
9,2,1,,1,1,999,9999,3,3,2
9,2,1,,1,1,999,9999,3,3,2
9,1,1,,1,1,999,9999,3,3,2
9,2,1,,1,1,999,9999,2,3,2
5,2,4,,1,1,200,9999,13,9,1
7,2,2,,1,1,304,0,12,2,2
4,1,2,,1,1,600,300,12,2,2
1,1,1,,1,1,600,300,8,2,2
1,1,1,,1,1,304,0,5,2,2
5,2,2,,1,1,600,300,7,2,1
1,1,2,,1,1,400,0,8,2,1
9,1,1,,1,1,999,9999,2,2,1
1,1,2,,1,1,304,0,8,2,1
7,2,2,,1,1,500,300,8,2,1
9,1,1,,1,1,999,9999,2,2,1
9,2,1,,1,1,999,9999,2,2,1
9,1,1,,1,1,999,9999,1,2,1
4,2,3,,1,1,200,9999,16,9,2
1,2,2,,1,1,200,9999,12,1,2
2,1,2,,1,1,200,9999,12,1,2
7,2,2,,1,1,400,800,10,2,1
1,1,2,,1,1,500,700,11,2,1
1,1,1,,1,1,700,300,6,2,1
1,2,1,,1,1,600,300,5,2,1
3,2,1,,1,1,200,9999,4,2,1
7,2,3,,1,1,300,0,14,9,2
4,2,3,,1,1,200,9999,14,9,2
1,1,4,,1,1,304,0,9,9,2
3,2,1,,1,1,100,9999,4,9,2
9,2,1,,1,1,999,9999,3,9,2
1,1,2,,1,1,304,0,10,1,1
7,2,2,,1,1,304,0,10,1,1
4,2,2,,1,1,100,9999,16,1,2
4,1,2,,1,1,100,9999,17,1,2
1,2,1,,1,1,500,800,7,9,2
